source,record_id,supplier,inspector,date,cc,model,color,po,po_qty,glove_type,order_type,sampling_size,critical_defects,major_defects,minor_defects,defect_qty,result,result_raw,gtd_issue,visual_issue,functional_issue,liner_issue,size_issue,important_issue,gtd_defects,visual_defects,functional_defects,liner_defects,size_defects,defect_rate,month,risk_level,has_defect,is_fail
Jiandaoyun Gloves / ZX FQC,69ba99ab516414bb747e73fc,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-17 16:00:00+00:00,343239,8771295,浅灰,4524297464,1260.0,单层,replenishment翻单,8.0,0.0,3.0,3.0,6.0,PASS,PASS合格,nan,扭指，指尖不圆顺，袖口接线不良，脏污，线头,nan,nan,nan,扭指，指尖不圆顺，袖口接线不良,0.0,6.0,0.0,0.0,0.0,0.75,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69bbacb0fa411b96256410d2,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2026-03-18 16:00:00+00:00,333549,8647342,浅灰,4523879658,30.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69bcbe0bddd9231f2e6d9cdb,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-19 16:00:00+00:00,356209,8901065,黑色,4523954822,54.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69bce83fbf78a92a8391e77b,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-19 16:00:00+00:00,356209,8901065,黑色,1063437164,162.0,半指,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,2.0,0.0,0.0,0.0,0.4,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69bd2460fbf7d87d17919a2a,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-19 16:00:00+00:00,330572,8615465,黑,4523867768,288.0,半指,replenishment翻单,5.0,0.0,1.0,2.0,3.0,PASS,PASS合格,nan,指叉止口太小，线头,nan,nan,nan,指叉止口太小,0.0,3.0,0.0,0.0,0.0,0.6,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69bd24741f04595185a856b6,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-19 16:00:00+00:00,356209,8901065,黑色,4523864205,378.0,半指,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,町缝不到位，线头,nan,nan,nan,町缝不到位,0.0,2.0,0.0,0.0,0.0,0.4,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69bd2494be2cb5ce06e72e12,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-19 16:00:00+00:00,343239,8829988,深灰,4524296749,930.0,单层,replenishment翻单,5.0,0.0,2.0,3.0,5.0,PASS,PASS合格,nan,町缝爆口，扭指，指尖不圆顺，线头,nan,nan,nan,町缝爆口，扭指，指尖不圆顺,0.0,5.0,0.0,0.0,0.0,1.0,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69bd24aeb828f69adc1b978f,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-19 16:00:00+00:00,343239,8771295,浅灰,4524285366,1170.0,单层,replenishment翻单,5.0,0.0,2.0,2.0,4.0,PASS,PASS合格,nan,扭指，指尖不圆顺，线头,nan,nan,nan,扭指，指尖不圆顺,0.0,4.0,0.0,0.0,0.0,0.8,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69bf8fa691a1ba9911466a01,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2026-03-21 16:00:00+00:00,333549,8647342,浅灰,4524338906,30.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69bf928af2a344f49f34385f,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2026-03-21 16:00:00+00:00,343239,8827481,紫色,4524299486,540.0,单层,replenishment翻单,5.0,0.0,2.0,2.0,4.0,PASS,PASS合格,nan,扭指、线头,nan,nan,nan,扭指、线头,0.0,4.0,0.0,0.0,0.0,0.8,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69bf92e8b3332d7eb7e98983,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2026-03-21 16:00:00+00:00,343239,8829988,深灰,4524294271,990.0,单层,replenishment翻单,5.0,0.0,2.0,3.0,5.0,PASS,PASS合格,nan,跳线、袖口断线、线头,nan,nan,nan,跳线、袖口断线、线头,0.0,5.0,0.0,0.0,0.0,1.0,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69c0a23e53fcfb9307152401,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-21 16:00:00+00:00,308787,8549940,黑色,4523873937,180.0,半指,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,断线，线头,nan,nan,nan,nan,0.0,2.0,0.0,0.0,0.0,0.4,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69c0a2e14415adadb9a9addc,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-21 16:00:00+00:00,330572,8615465,黑色,4524212275,96.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,线头,nan,nan,nan,线头,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69c0a435b680b49e434892d1,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-21 16:00:00+00:00,356209,8901065,黑色,1063437165,162.0,半指,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,线头 腰带刺刺外露,nan,nan,nan,nan,0.0,2.0,0.0,0.0,0.0,0.4,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69c0a488f6cfb09965f4440e,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-21 16:00:00+00:00,356209,8901065,黑色,4523857598,216.0,半指,replenishment翻单,5.0,0.0,0.0,1.0,1.0,PASS,PASS合格,nan,线头,nan,nan,nan,线头,0.0,1.0,0.0,0.0,0.0,0.2,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69c0a4c33fa1b8ecb588dab3,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-23 16:00:00+00:00,356209,8901066,白色,4523859985,600.0,半指,replenishment翻单,5.0,0.0,1.0,3.0,4.0,PASS,PASS合格,nan,线头   腰带明线距边不匀   连接标车线不匀,nan,nan,nan,线头   毛刺明线距边宽,0.0,4.0,0.0,0.0,0.0,0.8,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69c1240c8e8f34300fec5e85,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-22 16:00:00+00:00,330572,8615465,黑,4524212275,96.0,半指,replenishment翻单,3.0,0.0,0.0,1.0,1.0,PASS,PASS合格,nan,线头,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,2026-03,Critical,True,False
